Fr	Uin	Uout	b	a	phi	k
15	7.446	0.453	7	6.5	1.19054512010196	0.060838033843675
25	7.532	1.064	7	6.5	1.19054512010196	0.141263940520446
40	7.512	1.6	7	6.5	1.19054512010196	0.212992545260916
100	7.412	3.364	7	5.9	1.00257067188395	0.453858607663249
200	7.41	5.016	7	4.7	0.736134824577595	0.676923076923077
300	7.32	5.909	7	3.7	0.556916809693318	0.80724043715847
400	7.27	6.297	7	3	0.442911044073639	0.866162310866575
500	7.236	6.536	7	2.5	0.365207221290367	0.90326147042565
1000	7.3	7.03	7	1.3	0.186798744034642	0.963013698630137
2000	7.282	7.16	7	0.7	0.10016742116156	0.983246360889865
3000	7.27	7.175	7	0.4	0.057174001080663	0.986932599724897
